Source Well,Destination Well,Transfer Volume
O01,A1,15
A22,A1,15
C02,A1,15
A23,A1,15
A04,A1,15
C24,A1,15
C16,A1,15
G16,A1,15
A16,A1,15
K16,A1,14.63265319
I20,A1,14.53838035
G22,A1,13.20198706
C22,A1,11.43062996
I04,A1,10.91109607
I16,A1,10.63706371
I12,A1,10.54441537
K14,A1,10.34032243
G08,A1,10.29015233
I14,A1,9.604142171
A01,A1,9.344828741
C12,A1,9.158532925
C14,A1,9.031269989
G14,A1,8.840494423
I08,A1,8.685870841
I22,A1,8.621623485
K12,A1,8.487247045
A06,A1,8.258392539
A18,A1,8.255250536
G20,A1,8.083729454
I18,A1,7.897241042
G24,A1,7.829507191
G10,A1,7.821691361
E16,A1,7.750340859
E24,A1,7.645515681
I24,A1,7.577939864
O17,A1,7.569602178
O05,A1,7.56371586
G02,A1,7.553993079
A20,A1,7.057134239
O03,A1,6.847777616
K20,A1,6.751888732
G18,A1,6.723723674
K06,A1,6.714280916
O23,A1,6.680252352
I02,A1,6.667304596
C06,A1,6.502389478
G04,A1,6.441802675
A14,A1,6.388839563
I10,A1,6.311502183
O21,A1,6.311360964
M21,A1,6.25537568
G12,A1,6.244297602
K05,A1,6.232845491
C08,A1,6.143789326
M05,A1,6.10218833
C10,A1,5.960603841
K08,A1,5.95632442
O11,A1,5.924796899
O07,A1,5.900258447
E18,A1,5.867000615
A08,A1,5.740204631
C18,A1,5.722387673
C05,A1,5.597588021
C04,A1,5.467603325
M01,A1,5.403192329
I23,A1,5.390594828
K23,A1,5.388638206
O13,A1,5.283960354
C20,A1,5.26227367
K19,A1,5.191953755
O19,A1,5.133091708
K09,A1,5.129264735
E22,A1,5.128891677
M23,A1,5.098300207
I15,A1,5.048388437
O15,A1,4.990687466
K17,A1,4.990510873
K07,A1,4.845377575
E14,A1,4.840970268
K03,A1,4.772496879
I21,A1,4.728733056
O09,A1,4.689971661
K02,A1,4.683586085
A10,A1,4.645787857
K21,A1,4.632892429
M03,A1,4.628711118
K15,A1,4.615154953
I06,A1,4.605509748
K18,A1,4.59231323
M11,A1,4.55346757
E20,A1,4.504601727
M19,A1,4.477643907
C09,A1,4.457689174
A12,A1,4.435957343
C07,A1,4.385950827
I19,A1,4.370863184
M09,A1,4.3568209
E10,A1,4.283253444
K13,A1,4.261832647
E08,A1,4.219564325
M13,A1,4.205911424
E17,A1,4.146312738
M15,A1,4.056979282
K11,A1,4.04923351
M17,A1,4.009233833
G06,A1,3.980717691
I17,A1,3.91486226
E19,A1,3.911116811
E12,A1,3.908136438
M07,A1,3.853833776
G07,A1,3.837058147
G05,A1,3.824675673
G09,A1,3.818721138
E06,A1,3.815725009
C11,A1,3.813506774
C03,A1,3.696902432
A11,A1,3.637407226
K04,A1,3.611189916
A21,A1,3.599852669
I13,A1,3.582069636
K01,A1,3.554758674
A17,A1,3.551178451
E04,A1,3.50550115
E02,A1,3.489930783
C21,A1,3.460983982
A19,A1,3.391449713
G23,A1,3.360500078
I05,A1,3.330582057
C01,A1,3.322618005
A05,A1,3.267804951
C23,A1,3.220276227
G01,A1,3.199565058
A09,A1,3.181736363
A13,A1,3.175253622
I07,A1,3.114633359
G13,A1,3.102710924
A15,A1,3.060196968
A03,A1,3.027028551
A07,A1,2.986613044
E01,A1,2.917993271
G03,A1,2.888500784
G15,A1,2.885309789
G17,A1,2.881566423
C19,A1,2.880801262
E05,A1,2.879654282
E03,A1,2.847330624
I09,A1,2.845635869
I03,A1,2.838876979
C13,A1,2.836536061
G11,A1,2.825228669
G21,A1,2.81580889
E21,A1,2.790929429
E15,A1,2.785637523
C15,A1,2.738472832
C17,A1,2.689412541
G19,A1,2.664692181
I01,A1,2.63288053
E09,A1,2.493468778
E13,A1,2.432885887
E07,A1,2.36791934
E11,A1,2.29742833
K10,A1,2.265724646
E23,A1,2.25321843